DATA_RILEVAZIONE,CODICE_PRODOTTO,NOME_PRODOTTO,PREZZO,ACCISA,IVA,NETTO,VARIAZIONE
2005-04-25,8,O.C. denso BTZ,"294,82","31,39",0,"263,43","5,62"
2005-05-02,1,Benzina,"1.234,89",564,"205,81","465,08",0
2005-05-02,2,Gasolio auto,"1.092,92",413,"182,15","497,77","-28,53"
2005-05-02,5,GPL,"553,2","156,62","92,2","304,38","-0,61"
2005-05-02,3,Gasolio riscaldamento,"1.008,37","403,21","168,06","437,1","-7,71"
2005-05-02,6,O.C. fluido BTZ,"600,28","166,84","54,57","378,87","-4,95"
2005-05-02,8,O.C. denso BTZ,"289,41","31,39",0,"258,02","-5,41"
2005-05-09,1,Benzina,"1.215,38",564,"202,56","448,82","-19,51"
2005-05-09,2,Gasolio auto,"1.072,72",413,"178,79","480,93","-20,2"
2005-05-09,5,GPL,"553,2","156,62","92,2","304,38",0
2005-05-09,3,Gasolio riscaldamento,"1.000,75","403,21","166,79","430,75","-7,62"
2005-05-09,6,O.C. fluido BTZ,"592,43","166,84","53,86","371,73","-7,85"
2005-05-09,8,O.C. denso BTZ,"279,99","31,39",0,"248,6","-9,42"
2005-05-16,1,Benzina,"1.201,12",564,"200,19","436,93","-14,26"
2005-05-16,2,Gasolio auto,"1.062,62",413,"177,1","472,52","-10,1"
2005-05-16,5,GPL,"553,2","156,62","92,2","304,38",0
2005-05-16,3,Gasolio riscaldamento,"986,34","403,21","164,39","418,74","-14,41"
2005-05-16,6,O.C. fluido BTZ,"578,27","166,84","52,57","358,86","-14,16"
2005-05-16,8,O.C. denso BTZ,"284,06","31,39",0,"252,67","4,07"
2005-05-23,1,Benzina,"1.186,26",564,"197,71","424,55","-14,86"
2005-05-23,2,Gasolio auto,"1.052,68",413,"175,45","464,23","-9,94"
2005-05-23,5,GPL,"553,2","156,62","92,2","304,38",0
2005-05-23,3,Gasolio riscaldamento,"990,43","403,21","165,07","422,15","4,09"
2005-05-23,6,O.C. fluido BTZ,"585,79","166,84","53,25","365,7","7,52"
2005-05-23,8,O.C. denso BTZ,"292,33","31,39",0,"260,94","8,27"
2005-05-30,1,Benzina,"1.186,26",564,"197,71","424,55",0
2005-05-30,2,Gasolio auto,"1.052,68",413,"175,45","464,23",0
2005-05-30,5,GPL,"553,2","156,62","92,2","304,38",0
2005-05-30,3,Gasolio riscaldamento,1.001,"403,21","166,83","430,96","10,57"
2005-05-30,6,O.C. fluido BTZ,"594,08","166,84","54,01","373,23","8,29"
2005-05-30,8,O.C. denso BTZ,"287,22","31,39",0,"255,83","-5,11"
2005-06-06,1,Benzina,"1.197,86",564,"199,64","434,22","11,6"
2005-06-06,2,Gasolio auto,"1.074,55",413,"179,09","482,46","21,87"
2005-06-06,5,GPL,"553,2","156,62","92,2","304,38",0
2005-06-06,3,Gasolio riscaldamento,"1.024,37","403,21","170,73","450,43","23,37"
2005-06-06,6,O.C. fluido BTZ,"600,94","166,84","54,63","379,47","6,86"
2005-06-06,8,O.C. denso BTZ,"290,06","31,39",0,"258,67","2,84"
2005-06-13,1,Benzina,"1.216,26",564,"202,71","449,55","18,4"
2005-06-13,2,Gasolio auto,"1.102,35",413,"183,72","505,63","27,8"
2005-06-13,5,GPL,"553,2","156,62","92,2","304,38",0
2005-06-13,3,Gasolio riscaldamento,"1.039,01","403,21","173,17","462,63","14,64"
2005-06-13,6,O.C. fluido BTZ,"610,85","166,84","55,53","388,48","9,91"
2005-06-13,8,O.C. denso BTZ,"292,25","31,39",0,"260,86","2,19"
2005-06-20,1,Benzina,"1.216,44",564,"202,74","449,7","0,18"
2005-06-20,2,Gasolio auto,"1.104,03",413,184,"507,03","1,68"
2005-06-20,5,GPL,"553,2","156,62","92,2","304,38",0
2005-06-20,3,Gasolio riscaldamento,"1.050,01","403,21",175,"471,8",11
2005-06-20,6,O.C. fluido BTZ,"617,81","166,84","56,16","394,81","6,96"
2005-06-20,8,O.C. denso BTZ,"311,35","31,39",0,"279,96","19,1"
2005-06-27,1,Benzina,"1.231,19",564,"205,2","461,99","14,75"
2005-06-27,2,Gasolio auto,"1.120,85",413,"186,81","521,04","16,82"
2005-06-27,5,GPL,"553,2","156,62","92,2","304,38",0
2005-06-27,3,Gasolio riscaldamento,"1.059,54","403,21","176,59","479,74","9,53"
2005-06-27,6,O.C. fluido BTZ,"635,86","166,84","57,81","411,21","18,05"
2005-06-27,8,O.C. denso BTZ,"328,78","31,39",0,"297,39","17,43"
2005-07-04,1,Benzina,"1.245,79",564,"207,63","474,16","14,6"
2005-07-04,2,Gasolio auto,"1.131,05",413,"188,51","529,54","10,2"
2005-07-04,5,GPL,"553,44","156,62","92,24","304,58","0,24"
2005-07-04,3,Gasolio riscaldamento,"1.064,42","403,21","177,4","483,81","4,88"
2005-07-04,6,O.C. fluido BTZ,"645,06","166,84","58,64","419,58","9,2"
2005-07-04,8,O.C. denso BTZ,"316,56","31,39",0,"285,17","-12,22"
2005-07-11,1,Benzina,"1.246,15",564,"207,69","474,46","0,36"
2005-07-11,2,Gasolio auto,"1.131,97",413,"188,66","530,31","0,92"
2005-07-11,5,GPL,"553,44","156,62","92,24","304,58",0
2005-07-11,3,Gasolio riscaldamento,"1.081,69","403,21","180,28","498,2","17,27"
2005-07-11,6,O.C. fluido BTZ,"647,88","166,84","58,9","422,14","2,82"
2005-07-11,8,O.C. denso BTZ,"329,41","31,39",0,"298,02","12,85"
2005-07-18,1,Benzina,"1.247,67",564,"207,95","475,72","1,52"
2005-07-18,2,Gasolio auto,"1.133,37",413,"188,89","531,48","1,4"
2005-07-18,5,GPL,"553,44","156,62","92,24","304,58",0
2005-07-18,3,Gasolio riscaldamento,"1.072,66","403,21","178,78","490,67","-9,03"
2005-07-18,6,O.C. fluido BTZ,"645,16","166,84","58,65","419,67","-2,72"
2005-07-18,8,O.C. denso BTZ,"325,33","31,39",0,"293,94","-4,08"
2005-07-25,1,Benzina,"1.245,7",564,"207,62","474,08","-1,97"
2005-07-25,2,Gasolio auto,"1.132,13",413,"188,69","530,44","-1,24"
2005-07-25,5,GPL,"553,44","156,62","92,24","304,58",0
2005-07-25,3,Gasolio riscaldamento,"1.056,69","403,21","176,11","477,37","-15,97"
2005-07-25,6,O.C. fluido BTZ,"647,26","166,84","58,84","421,58","2,1"
2005-07-25,8,O.C. denso BTZ,"319,07","31,39",0,"287,68","-6,26"
2005-08-01,1,Benzina,"1.246,26",564,"207,71","474,55","0,56"
2005-08-01,2,Gasolio auto,"1.132,13",413,"188,69","530,44",0
2005-08-01,5,GPL,"553,44","156,62","92,24","304,58",0
2005-08-01,3,Gasolio riscaldamento,"1.062,67","403,21","177,11","482,35","5,98"
2005-08-01,6,O.C. fluido BTZ,"639,43","166,84","58,13","414,46","-7,83"
2005-08-01,8,O.C. denso BTZ,"321,7","31,39",0,"290,31","2,63"
2005-08-08,1,Benzina,"1.246,26",564,"207,71","474,55",0
2005-08-08,2,Gasolio auto,"1.132,82",413,"188,8","531,02","0,69"
2005-08-08,5,GPL,"553,44","156,62","92,24","304,58",0
2005-08-08,3,Gasolio riscaldamento,"1.065,31","403,21","177,55","484,55","2,64"
2005-08-08,6,O.C. fluido BTZ,"649,28","166,84","59,03","423,41","9,85"
2005-08-08,8,O.C. denso BTZ,"321,56","31,39",0,"290,17","-0,14"
2005-08-22,1,Benzina,"1.275,6",564,"212,6",499,"29,34"
2005-08-22,2,Gasolio auto,"1.157,26",413,"192,88","551,38","24,44"
2005-08-22,5,GPL,"555,16","156,62","92,53","306,01","1,72"
2005-08-22,3,Gasolio riscaldamento,"1.087,73","403,21","181,29","503,23","22,42"
2005-08-22,6,O.C. fluido BTZ,"646,84","166,84","58,8","421,2","-2,44"
2005-08-22,8,O.C. denso BTZ,"326,21","31,39",0,"294,82","4,65"
2005-08-29,1,Benzina,"1.277,05",564,"212,84","500,21","1,45"
2005-08-29,2,Gasolio auto,"1.157,9",413,"192,98","551,92","0,64"
2005-08-29,5,GPL,"555,16","156,62","92,53","306,01",0
2005-08-29,3,Gasolio riscaldamento,"1.111,53","403,21","185,25","523,07","23,8"
2005-08-29,6,O.C. fluido BTZ,"665,08","166,84","60,46","437,78","18,24"
2005-08-29,8,O.C. denso BTZ,"329,28","31,39",0,"297,89","3,07"
2005-09-05,1,Benzina,"1.306,89",564,"217,81","525,08","29,84"
2005-09-05,2,Gasolio auto,"1.179,13",413,"196,52","569,61","21,23"
2005-09-05,5,GPL,"555,16","156,62","92,53","306,01",0
2005-09-05,3,Gasolio riscaldamento,"1.148,23","403,21","191,37","553,65","36,7"
2005-09-05,6,O.C. fluido BTZ,"688,76","166,84","62,61","459,31","23,68"
2005-09-05,8,O.C. denso BTZ,"359,42","31,39",0,"328,03","30,14"
2005-09-12,1,Benzina,"1.329,84",564,"221,64","544,2","22,95"
2005-09-12,2,Gasolio auto,"1.206,9",413,"201,15","592,75","27,77"
2005-09-12,5,GPL,"578,22","156,62","96,37","325,23","23,06"
2005-09-12,3,Gasolio riscaldamento,"1.121,71","403,21","186,95","531,55","-26,52"
2005-09-12,6,O.C. fluido BTZ,677,"166,84","61,55","448,61","-11,76"
2005-09-12,8,O.C. denso BTZ,"350,45","31,39",0,"319,06","-8,97"
2005-09-19,1,Benzina,"1.296,46",564,"216,08","516,38","-33,38"
2005-09-19,2,Gasolio auto,"1.178,61",413,"196,43","569,18","-28,29"
2005-09-19,5,GPL,579,"156,62","96,5","325,88","0,78"
2005-09-19,3,Gasolio riscaldamento,"1.124,51","403,21","187,42","533,88","2,8"
2005-09-19,6,O.C. fluido BTZ,"685,98","166,84","62,36","456,78","8,98"
2005-09-19,8,O.C. denso BTZ,"356,72","31,39",0,"325,33","6,27"
2005-09-26,1,Benzina,"1.293,42",564,"215,57","513,85","-3,04"
2005-09-26,2,Gasolio auto,"1.177,67",413,"196,28","568,39","-0,94"
2005-09-26,5,GPL,"579,54","156,62","96,59","326,33","0,54"
2005-09-26,3,Gasolio riscaldamento,"1.134,44","403,21","189,07","542,16","9,93"
2005-09-26,6,O.C. fluido BTZ,"699,53","166,84","63,59","469,1","13,55"
2005-09-26,8,O.C. denso BTZ,"373,2","31,39",0,"341,81","16,48"
2005-10-03,1,Benzina,"1.335,22",564,"222,54","548,68","41,8"
2005-10-03,2,Gasolio auto,"1.217,1",413,"202,85","601,25","39,43"
2005-10-03,5,GPL,"593,24","156,62","98,87","337,75","13,7"
2005-10-03,3,Gasolio riscaldamento,"1.149,46","403,21","191,58","554,67","15,02"
2005-10-03,6,O.C. fluido BTZ,"695,83","166,84","63,26","465,73","-3,7"
2005-10-03,8,O.C. denso BTZ,"371,83","31,39",0,"340,44","-1,37"
2005-10-10,1,Benzina,"1.337,86",564,"222,98","550,88","2,64"
2005-10-10,2,Gasolio auto,"1.218,09",413,"203,01","602,08","0,99"
2005-10-10,5,GPL,599,"156,62","99,83","342,55","5,76"
2005-10-10,3,Gasolio riscaldamento,"1.136,83","403,21","189,47","544,15","-12,63"
2005-10-10,6,O.C. fluido BTZ,"691,57","166,84","62,87","461,86","-4,26"
2005-10-10,8,O.C. denso BTZ,"352,13","31,39",0,"320,74","-19,7"
2005-10-17,1,Benzina,"1.334,07",564,"222,35","547,72","-3,79"
2005-10-17,2,Gasolio auto,"1.216,71",413,"202,78","600,93","-1,38"
2005-10-17,5,GPL,599,"156,62","99,83","342,55",0
2005-10-17,3,Gasolio riscaldamento,"1.145,53","403,21","190,92","551,4","8,7"
2005-10-17,6,O.C. fluido BTZ,"702,95","166,84","63,9","472,21","11,38"
2005-10-17,8,O.C. denso BTZ,"368,85","31,39",0,"337,46","16,72"
2005-10-24,1,Benzina,"1.295,58",564,"215,93","515,65","-38,49"
2005-10-24,2,Gasolio auto,"1.208,15",413,"201,36","593,79","-8,56"
2005-10-24,5,GPL,599,"156,62","99,83","342,55",0
2005-10-24,3,Gasolio riscaldamento,"1.125,59","403,21","187,6","534,78","-19,94"
